Depth,Measured resistance,,Corrected resistance,Temperature
6,6.316,,6256,20.86765634
7,6.302,,6242,20.92501007
8,6.282,,6222,21.00720188
9,6.243,,6183,21.16835605
10,6.204,,6144,21.33068717
11,6.158,,6098,21.52368955
12,6.096,,6036,21.78649783
13,6.034,,5974,22.05243981
14,5.947,,5887,22.43103629
15,5.88,,5820,22.72702805
16,5.811,,5751,23.03599565
17,5.746,,5686,23.33099257
18,5.665,,5605,23.70410175
19,5.585,,5525,24.07876812
20,5.518,,5458,24.39740568
21,5.481,,5421,24.57531266
22,5.379,,5319,25.07311689
23,5.311,,5251,25.41115558
24,5.251,,5191,25.71365407
25,5.181,,5121,26.07171925
26,5.107,,5047,26.45645137
27,5.03,,4970,26.86376862
28,4.968,,4908,27.19707938
29,4.904,,4844,27.54629034
30,4.829,,4769,27.96237912
31,4.776,,4716,28.26100811
32,4.709,,4649,28.64412766
33,4.641,,4581,29.03955688
34,4.564,,4504,29.49561019
35,4.495,,4435,29.91201865
36,4.431,,4371,30.30501603
37,4.383,,4323,30.60416442
38,4.339,,4279,30.88178414
39,4.296,,4236,31.15630897
40,4.248,,4188,31.4665959
41,4.186,,4126,31.87353983
42,4.123,,4063,32.2943742
43,4.055,,3995,32.75718396
44,3.997,,3937,33.15921195
45,3.933,,3873,33.61087994
46,3.882,,3822,33.97704737
47,3.824,,3764,34.40042685
48,3.776,,3716,34.75657663
49,3.723,,3663,35.15608215
50,3.679,,3619,35.49287976
51,3.633,,3573,35.8501087
52,3.571,,3511,36.34013431
53,3.525,,3465,36.71024309
54,3.49,,3430,36.9956927
55,3.451,,3391,37.31777932
56,3.403,,3343,37.720155
57,3.36,,3300,38.08636117
58,3.305,,3245,38.56293394
59,3.3,,3240,38.60672389
60,3.291,,3231,38.68574418
61,3.281,,3221,38.77384527
62,3.273,,3213,38.84455548
63,3.264,,3204,38.92434962
64,3.254,,3194,39.01331608
65,3.243,,3183,39.11155414
66,3.23,,3170,39.22816401
67,3.219,,3159,39.32726922
68,3.207,,3147,39.43584285
69,3.197,,3137,39.52668942
70,3.184,,3124,39.64529493
