Depth,Measured resistance,,Corrected resistance,Temperature
32,6.936,,6876,18.46635555
33,8.1,,8040,14.56714534
34,9.346,,9286,11.05509914
36,9.441,,9381,10.80982713
38,9.501,,9441,10.65638332
40,9.517,,9457,10.615654
42,9.521,,9461,10.60548403
44,9.522,,9462,10.60294231
46,9.521,,9461,10.60548403
48,9.52,,9460,10.60802606
50,9.517,,9457,10.615654
52,9.512,,9452,10.62837341
54,9.51,,9450,10.63346333
56,9.492,,9432,10.6793284
58,9.482,,9422,10.70485244
60,9.482,,9422,10.70485244
62,9.488,,9428,10.68953428
64,9.508,,9448,10.6385545
66,9.531,,9471,10.58008069
68,9.551,,9491,10.52936626
70,9.572,,9512,10.47624798
72,9.592,,9532,10.42578416
74,9.619,,9559,10.35785048
76,9.641,,9581,10.30265977
78,9.666,,9606,10.24011936
80,9.696,,9636,10.16531703
82,9.732,,9672,10.0759063
84,9.767,,9707,9.989344661
86,9.802,,9742,9.903140504
88,9.835,,9775,9.822187238
90,9.855,,9795,9.773277151
92,9.858,,9798,9.765950524
94,9.857,,9797,9.768392447
96,9.858,,9798,9.765950524
98,9.858,,9798,9.765950524
100,9.858,,9798,9.765950524
102,9.859,,9799,9.763508887
104,9.858,,9798,9.765950524
106,9.858,,9798,9.765950524
108,9.857,,9797,9.768392447
110,9.855,,9795,9.773277151
112,9.858,,9798,9.765950524
114,9.859,,9799,9.763508887
116,9.864,,9804,9.751304991
118,9.864,,9804,9.751304991
120,9.863,,9803,9.753745198
